"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83"
0,42,56,40,41,48,49,56,53,51,48,53,38,40,49,66,29,47,26,47,52,46,39,45,51,59,31,49,46,47,57,50,47,44,30,37,48,55,46,56,54,55,44,50,50,50,41,59,53,49,58,44,55,44,50,50,49,56,46,34,54,51,53,46,36,40,55,47,46,50,8,48,46,34,50,30,49,35,49,55,49,39,51
42,0,54,38,39,46,47,54,51,49,46,51,36,14,47,64,25,45,24,45,50,44,37,43,49,57,29,47,44,45,55,48,45,42,28,35,22,53,44,54,52,53,42,48,48,48,39,57,51,47,56,42,53,42,48,48,47,54,44,32,52,49,51,44,34,38,53,45,44,48,40,46,44,32,48,28,47,33,47,53,47,9,49
56,54,0,50,51,42,25,42,39,25,30,47,26,52,25,48,41,29,36,33,46,52,31,21,37,53,41,31,50,47,43,44,33,18,36,47,60,41,40,42,48,41,30,36,36,36,45,53,47,25,44,14,49,40,44,36,31,42,42,44,54,23,47,28,46,46,41,41,24,44,54,30,42,38,36,40,35,39,31,41,43,51,45
40,38,50,0,5,42,43,50,47,45,42,47,32,36,43,60,25,41,16,41,46,40,33,39,45,53,21,43,40,41,51,44,41,38,24,13,44,49,40,50,48,49,38,44,44,44,35,53,47,43,52,38,49,38,44,44,43,50,40,24,48,45,47,40,26,34,49,41,40,44,38,42,40,28,44,22,43,29,43,49,43,35,45
41,39,51,5,0,43,44,51,48,46,43,48,33,37,44,61,26,42,17,42,47,41,34,40,46,54,22,44,41,42,52,45,42,39,25,14,45,50,41,51,49,50,39,45,45,45,36,54,48,44,53,39,50,39,45,45,44,51,41,25,49,46,48,41,27,35,50,42,41,45,39,43,41,29,45,23,44,30,44,50,44,36,46
48,46,42,42,43,0,35,42,39,37,34,25,24,44,35,52,33,33,28,33,24,44,25,31,37,27,33,35,42,39,43,22,33,30,28,39,52,41,18,42,22,41,30,36,36,36,37,31,25,35,44,30,27,32,22,36,35,42,34,36,46,37,25,32,38,38,41,19,32,18,46,34,34,30,36,32,35,31,35,41,21,43,23
49,47,25,43,44,35,0,35,32,20,23,40,19,45,18,41,34,22,29,26,39,45,24,14,30,46,34,24,43,40,36,37,26,13,29,40,53,34,33,35,41,34,23,29,29,29,38,46,40,18,37,13,42,33,37,29,24,35,35,37,47,20,40,21,39,39,34,34,17,37,47,23,35,31,29,33,28,32,24,34,36,44,38
56,54,42,50,51,42,35,0,37,37,34,47,26,52,35,52,41,33,36,17,46,52,31,31,35,53,41,35,50,47,5,44,31,30,36,47,60,39,40,26,48,39,28,34,34,34,45,53,47,35,28,30,49,40,44,22,35,40,42,44,54,37,47,32,46,46,27,41,32,44,54,34,42,38,34,40,21,39,35,7,43,51,45
53,51,39,47,48,39,32,37,0,34,31,44,23,49,32,49,38,30,33,28,43,49,28,28,4,50,38,32,47,44,38,41,20,27,33,44,57,28,37,37,45,28,17,5,5,5,42,50,44,32,39,27,46,37,41,31,32,7,39,41,51,34,44,29,43,43,36,38,29,41,51,31,39,35,13,37,30,36,32,36,40,48,42
51,49,25,45,46,37,20,37,34,0,25,42,21,47,20,43,36,24,31,28,41,47,26,16,32,48,36,26,45,42,38,39,28,11,31,42,55,36,35,37,43,36,25,31,31,31,40,48,42,20,39,13,44,35,39,31,26,37,37,39,49,20,42,23,41,41,36,36,19,39,49,25,37,33,31,35,30,34,26,36,38,46,40
