"","Y","jj","J_1","J_2"
"1",19,1,1,3
"2",17,1,1,5
"3",59,1,1,8
"4",7,1,1,11
"5",72,1,1,32
"6",91,1,1,42
"7",5,1,1,54
"8",40,1,1,55
"9",48,1,1,56
"10",44,1,1,59
"11",15,1,1,62
"12",14,1,1,66
"13",19,1,1,71
"14",6,1,1,83
"15",1,1,2,5
"16",12,1,17,27
"17",9,1,22,47
"18",7,1,22,52
"19",5,1,49,42
"20",9,1,50,42
"21",1,2,1,8
"22",3,2,1,71
"23",1,2,2,42
"24",1,2,4,79
"25",2,3,34,3
"26",1,3,47,24
"27",54,3,52,8
"28",2,3,53,69
"29",3,3,60,21
"30",1,3,66,31
"31",5,4,1,5
"32",9,4,1,8
"33",5,4,1,51
"34",7,4,1,81
"35",2,4,17,27
"36",4,4,53,81
"37",8,4,64,81
"38",1,5,29,47
"39",1,6,4,2
"40",4,6,4,20
"41",13,6,4,31
"42",6,6,4,42
"43",1,6,4,45
"44",1,6,4,47
"45",2,6,4,83
"46",1,6,6,35
"47",2,6,6,47
"48",2,6,6,74
"49",10,6,8,11
"50",37,6,8,15
"51",3,6,8,17
"52",82,6,8,20
"53",14,6,8,30
"54",2,6,8,52
"55",69,6,8,56
"56",3,6,8,67
"57",9,6,8,72
"58",2,6,28,69
"59",6,6,34,3
"60",30,6,39,46
"61",2,6,39,47
"62",3,6,51,15
"63",80,6,52,8
"64",1,6,56,66
"65",2,6,57,66
"66",6,7,61,80
"67",3,7,65,76
"68",1,8,65,76
"69",1,9,2,42
"70",2,9,2,49
"71",3,9,2,76
"72",7,9,8,17
"73",7,9,8,52
"74",2,9,15,10
"75",6,9,15,24
"76",2,9,29,47
"77",7,9,42,73
"78",2,9,45,3
"79",24,9,45,47
"80",2,9,59,42
"81",2,9,69,79
"82",1,10,60,21
"83",9,11,57,66
"84",2,11,66,31
"85",1,12,4,42
"86",1,13,47,24
"87",3,13,52,8
"88",5,14,30,42
"89",1,14,58,71
"90",2,14,62,10
"91",2,15,1,42
"92",1,15,1,71
"93",1,15,2,23
"94",2,15,2,42
"95",4,15,2,49
"96",1,15,59,42
"97",23,16,1,8
"98",7,16,1,32
"99",1,16,1,56
"100",9,16,60,21
"101",2,16,63,10
"102",68,16,64,31
"103",1,16,64,81
"104",2,16,65,76
"105",114,16,66,31
"106",1,17,2,49
"107",1,17,2,50
"108",1,17,4,31
"109",1,17,4,45
"110",3,17,4,47
"111",2,17,8,11
"112",64,17,8,47
"113",1,17,9,28
"114",1,17,11,11
"115",2,17,15,10
"116",2,17,15,24
"117",1,17,15,56
"118",1,17,43,18
"119",1,17,43,42
"120",1,17,47,24
"121",2,17,51,15
"122",3,17,57,66
"123",7,17,60,21
"124",1,18,3,48
"125",18,18,7,16
"126",11,18,20,8
"127",2,18,20,36
"128",1,18,20,56
"129",14,18,20,79
"130",2,18,20,80
"131",2,18,22,47
"132",17,18,23,80
"133",3,18,29,47
"134",8,18,30,42
"135",6,18,31,3
"136",2,18,32,18
"137",1,18,36,2
"138",2,18,36,24
"139",13,18,36,30
"140",2,18,36,47
"141",3,18,39,35
"142",3,18,43,42
"143",3,18,46,42
"144",4,18,47,24
"145",22,18,52,8
"146",35,18,61,80
"147",12,18,63,10
"148",4,20,30,42
"149",13,20,32,18
"150",1,20,43,42
"151",2,21,52,8
"152",6,19,34,3
"153",13,19,46,42
"154",1,19,49,42
"155",6,19,59,42
"156",7,22,1,42
"157",1,22,4,2
"158",3,22,4,31
"159",1,22,4,42
"160",7,22,4,79
"161",1,22,34,3
"162",1,23,1,5
"163",6,23,1,8
"164",5,23,1,11
"165",1,23,1,41
"166",1,23,1,42
"167",9,23,1,43
"168",22,23,1,55
"169",23,23,1,56
"170",3,23,1,71
"171",1,23,4,2
"172",1,23,4,31
"173",3,23,4,45
"174",6,23,4,83
"175",24,23,8,11
"176",45,23,8,17
"177",61,23,8,30
"178",1,23,8,45
"179",12,23,8,52
"180",1,23,8,56
"181",5,23,9,3
"182",1,23,9,10
"183",5,23,9,28
"184",1,23,9,42
"185",4,23,9,67
"186",6,23,16,42
"187",12,23,19,77
"188",4,23,21,28
"189",5,23,22,52
"190",1,23,25,79
"191",6,23,32,18
"192",1,23,36,2
"193",1,23,36,45
"194",4,23,36,47
"195",1,23,36,67
"196",3,23,38,1
"197",2,23,38,11
"198",20,23,38,46
"199",4,23,38,75
"200",1,23,38,80
"201",14,23,41,79
"202",1,23,44,42
"203",1,23,45,47
"204",8,23,46,42
"205",1,23,49,42
"206",11,23,50,42
"207",12,23,54,28
"208",9,23,55,61
"209",1,23,59,42
"210",5,23,69,79
"211",1,23,70,11
"212",1,24,6,47
"213",1,24,15,10
"214",11,24,15,24
"215",1,24,15,75
"216",1,24,21,28
"217",22,24,22,47
"218",14,24,22,52
"219",8,24,29,47
"220",27,24,45,47
"221",7,24,50,42
"222",1,24,59,42
"223",1,24,70,11
"224",1,25,1,42
"225",4,25,34,3
"226",3,26,21,28
"227",2,27,15,47
"228",17,27,21,28
"229",2,27,69,79
"230",2,28,2,42
"231",1,28,2,52
"232",2,28,2,76
"233",2,28,4,14
"234",1,28,4,42
"235",1,28,6,47
"236",23,28,7,16
"237",1,28,9,71
"238",1,28,16,42
"239",56,28,19,77
"240",1,28,34,3
"241",1,28,38,1
"242",1,29,6,47
"243",5,29,7,14
"244",1,29,7,40
"245",3,30,64,31
"246",1,31,8,52
"247",1,31,15,10
"248",1,31,15,56
"249",9,31,22,42
"250",3,32,56,66
"251",13,32,57,66
"252",1,33,9,25
"253",4,34,8,15
"254",7,34,15,64
"255",1,34,15,67
"256",1,34,34,3
"257",6,34,49,42
"258",2,34,50,42
"259",9,35,24,39
"260",1,36,1,56
"261",1,36,4,3
"262",1,36,4,83
"263",41,36,8,11
"264",84,36,8,15
"265",54,36,8,17
"266",3,36,8,28
"267",22,36,8,30
"268",56,36,8,45
"269",18,36,8,47
"270",276,36,8,52
"271",8,36,8,56
"272",3,36,8,60
"273",4,36,11,11
"274",16,36,44,52
"275",9,36,46,42
"276",9,36,48,40
"277",1,36,49,42
"278",24,36,61,80
"279",4,36,65,76
"280",1,37,55,61
"281",18,38,1,5
"282",4,38,1,41
"283",39,38,1,43
"284",2,38,1,62
"285",4,38,2,5
"286",1,38,2,7
"287",10,38,2,16
"288",8,38,2,19
"289",15,38,2,20
"290",1,38,2,28
"291",2,38,2,42
"292",3,38,2,49
"293",7,38,2,52
"294",1,38,2,66
"295",12,38,2,68
"296",4,38,2,76
"297",1,38,2,81
"298",8,38,7,40
"299",6,38,8,17
"300",8,38,15,10
"301",6,38,15,24
"302",2,38,15,75
"303",2,38,21,28
"304",6,38,22,39
"305",6,38,22,42
"306",1,38,22,47
"307",3,38,22,52
"308",7,38,29,47
"309",7,38,35,16
"310",3,38,39,46
"311",2,38,45,47
"312",1,38,49,42
