Bird_genus,Plant_genus,lipids,site,lat,lon,Fruit_Diet,Plant_phylo,Phylo,visits,BodyMass
Antilophia,Alchornea,67.625,1,-15.9519,-47.9701,60,Alchornea,Antilophia_galeata,19,21.48
Antilophia,Amaioua,10.325,1,-15.9519,-47.9701,60,Amaioua,Antilophia_galeata,17,21.48
Antilophia,Cabralea,71.11666667,1,-15.9519,-47.9701,60,Cabralea,Antilophia_galeata,59,21.48
Antilophia,Cecropia,3.928571429,1,-15.9519,-47.9701,60,Cecropia,Antilophia_galeata,7,21.48
Antilophia,Guatteria,5.528333333,1,-15.9519,-47.9701,60,Guatteria,Antilophia_galeata,72,21.48
Antilophia,Miconia,4.111052632,1,-15.9519,-47.9701,60,Miconia,Antilophia_galeata,91,21.48
Antilophia,Phoradendron,2.9,1,-15.9519,-47.9701,60,Phoradendron,Antilophia_galeata,5,21.48
Antilophia,Piper,2.2,1,-15.9519,-47.9701,60,Piper,Antilophia_galeata,40,21.48
Antilophia,Protium,2.617142857,1,-15.9519,-47.9701,60,Protium,Antilophia_galeata,48,21.48
Antilophia,Psittacanthus,25.73333333,1,-15.9519,-47.9701,60,Psittacanthus,Antilophia_galeata,44,21.48
Antilophia,Richeria,27,1,-15.9519,-47.9701,60,Richeria,Antilophia_galeata,15,21.48
Antilophia,Schefflera,23.1,1,-15.9519,-47.9701,60,Schefflera,Antilophia_galeata,14,21.48
Antilophia,Solanum,5.062352941,1,-15.9519,-47.9701,60,Solanum,Antilophia_galeata,19,21.48
Antilophia,Xylopia,44.1,1,-15.9519,-47.9701,60,Xylopia,Antilophia_galeata,6,21.48
Antilophia,Amaioua,10.325,2,-21.72583333,-48.01861111,60,Amaioua,Antilophia_galeata,1,21.48
Antilophia,Faramea,3.4,17,-19.16666667,-48.39166667,60,Faramea,Antilophia_galeata,12,21.48
Antilophia,Myrsine,21.24285714,23,-21.96666667,-47.86666667,60,Myrsine,Antilophia_galeata,9,21.48
Antilophia,Pera,68.1,23,-21.96666667,-47.86666667,60,Pera,Antilophia_galeata,7,21.48
Antilophia,Miconia,4.111052632,50,-18.98916667,-48.30166667,60,Miconia,Antilophia_galeata,5,21.48
Antilophia,Miconia,4.111052632,51,-18.9,-48.23333333,60,Miconia,Antilophia_galeata,9,21.48
Arremon,Cabralea,71.11666667,1,-15.9519,-47.9701,40,Cabralea,Arremon_flavirostris,1,25.7975
Arremon,Solanum,5.062352941,1,-15.9519,-47.9701,40,Solanum,Arremon_flavirostris,3,25.7975
Arremon,Miconia,4.111052632,2,-21.72583333,-48.01861111,40,Miconia,Arremon_flavirostris,1,25.7975
Arremon,Trema,48.8,4,-22.5496,-42.2766,40,Trema,Arremon_flavirostris,1,25.7975
Attila,Alchornea,67.625,35,-23,-44.31666667,17.5,Alchornea,Attila_spadiceus,2,38.925
Attila,Erythroxylum,36.01333333,48,-24,-47.75,17.5,Erythroxylum,Attila_spadiceus,1,38.925
Attila,Cabralea,71.11666667,53,-24.2833,-48.4167,17.5,Cabralea,Attila_spadiceus,54,38.925
Attila,Sloanea,12.96666667,54,-24.1414,-47.974,17.5,Sloanea,Attila_spadiceus,2,38.925
Attila,Cymbopetalum,61.2,61,18.5499,-95.2,17.5,Cymbopetalum,Attila_spadiceus,3,38.925
Attila,Guarea,44.08,67,-11.88805556,-71.4075,17.5,Guarea,Attila_spadiceus,1,38.925
Baryphtengus,Amaioua,10.325,1,-15.9519,-47.9701,35,Amaioua,Baryphthengus_ruficapillus,5,146.324
Baryphtengus,Cabralea,71.11666667,1,-15.9519,-47.9701,35,Cabralea,Baryphthengus_ruficapillus,9,146.324
Baryphtengus,Paullinia,2.1525,1,-15.9519,-47.9701,35,Paullinia,Baryphthengus_ruficapillus,5,146.324
Baryphtengus,Virola,65.81571429,1,-15.9519,-47.9701,35,Virola,Baryphthengus_ruficapillus,7,146.324
Baryphtengus,Faramea,3.4,17,-19.16666667,-48.39166667,35,Faramea,Baryphthengus_ruficapillus,2,146.324
Baryphtengus,Virola,65.81571429,54,-24.1414,-47.974,35,Virola,Baryphthengus_ruficapillus,4,146.324
Baryphtengus,Virola,65.81571429,65,9.1525,-79.8465,35,Virola,Baryphthengus_ruficapillus,8,146.324
Basileuterus,Myrsine,21.24285714,30,-25.25,-50.0833,0,Myrsine,Basileuterus_culicivorus,1,10.5
Cacicus,Aegiphila,8.7,4,-22.5496,-42.2766,43.33333333,Aegiphila,Cacicus_haemorrhous,1,74.49410714
Cacicus,Cupania,57.8,4,-22.5496,-42.2766,43.33333333,Cupania,Cacicus_haemorrhous,4,74.49410714
Cacicus,Guarea,44.08,4,-22.5496,-42.2766,43.33333333,Guarea,Cacicus_haemorrhous,13,74.49410714
Cacicus,Miconia,4.111052632,4,-22.5496,-42.2766,43.33333333,Miconia,Cacicus_haemorrhous,6,74.49410714
Cacicus,Myrcia,6.510555556,4,-22.5496,-42.2766,43.33333333,Myrcia,Cacicus_haemorrhous,1,74.49410714
Cacicus,Myrsine,21.24285714,4,-22.5496,-42.2766,43.33333333,Myrsine,Cacicus_haemorrhous,1,74.49410714
Cacicus,Xylopia,44.1,4,-22.5496,-42.2766,43.33333333,Xylopia,Cacicus_haemorrhous,2,74.49410714
Cacicus,Ilex,7.89,6,-22.45,-43.0167,43.33333333,Ilex,Cacicus_haemorrhous,1,74.49410714
Cacicus,Myrsine,21.24285714,6,-22.45,-43.0167,43.33333333,Myrsine,Cacicus_haemorrhous,2,74.49410714
Cacicus,Symplocos,2.49,6,-22.45,-43.0167,43.33333333,Symplocos,Cacicus_haemorrhous,2,74.49410714
Cacicus,Cecropia,3.928571429,8,-19.7667,-40.0033,43.33333333,Cecropia,Cacicus_haemorrhous,10,74.49410714
Cacicus,Clusia,51.182,8,-19.7667,-40.0033,43.33333333,Clusia,Cacicus_haemorrhous,37,74.49410714
Cacicus,Cordia,5.02,8,-19.7667,-40.0033,43.33333333,Cordia,Cacicus_haemorrhous,3,74.49410714
Cacicus,Cupania,57.8,8,-19.7667,-40.0033,43.33333333,Cupania,Cacicus_haemorrhous,82,74.49410714
Cacicus,Guapira,1.878333333,8,-19.7667,-40.0033,43.33333333,Guapira,Cacicus_haemorrhous,14,74.49410714
Cacicus,Pera,68.1,8,-19.7667,-40.0033,43.33333333,Pera,Cacicus_haemorrhous,2,74.49410714
Cacicus,Protium,2.617142857,8,-19.7667,-40.0033,43.33333333,Protium,Cacicus_haemorrhous,69,74.49410714
Cacicus,Schinus,5.47,8,-19.7667,-40.0033,43.33333333,Schinus,Cacicus_haemorrhous,3,74.49410714
Cacicus,Sorocea,2.9,8,-19.7667,-40.0033,43.33333333,Sorocea,Cacicus_haemorrhous,9,74.49410714
Cacicus,Sloanea,12.96666667,29,-28.2258,-51.1688,43.33333333,Sloanea,Cacicus_haemorrhous,2,74.49410714
Cacicus,Alchornea,67.625,35,-23,-44.31666667,43.33333333,Alchornea,Cacicus_haemorrhous,6,74.49410714
Cacicus,Myrciaria,8,40,-28.25,-52.4,43.33333333,Myrciaria,Cacicus_haemorrhous,30,74.49410714
Cacicus,Myrsine,21.24285714,40,-28.25,-52.4,43.33333333,Myrsine,Cacicus_haemorrhous,2,74.49410714
Cacicus,Clusia,51.182,52,-25.1336,-47.9516,43.33333333,Clusia,Cacicus_haemorrhous,3,74.49410714
Cacicus,Cabralea,71.11666667,53,-24.2833,-48.4167,43.33333333,Cabralea,Cacicus_haemorrhous,80,74.49410714
Cacicus,Schefflera,23.1,57,-12.85,-52.06666667,43.33333333,Schefflera,Cacicus_haemorrhous,1,74.49410714
Cacicus,Schefflera,23.1,58,-4.266666667,-55.98333333,43.33333333,Schefflera,Cacicus_haemorrhous,2,74.49410714
Callocita,Trichilia,69.55,62,10.4272,-85.0934,20,Trichilia,Calocitta_formosa,6,210
Callocita,Tabernaemontana,63.9,66,10.6267,-85.4436,20,Tabernaemontana,Calocitta_formosa,3,210
Campephilus,Tabernaemontana,63.9,66,10.6267,-85.4436,20,Tabernaemontana,Campephilus_guatemalensis,1,242
Camptostoma,Miconia,4.111052632,2,-21.72583333,-48.01861111,30,Miconia,Camptostoma_obsoletum,1,8.1
Camptostoma,Ocotea,29.855,2,-21.72583333,-48.01861111,30,Ocotea,Camptostoma_obsoletum,2,8.1
Camptostoma,Tabernaemontana,63.9,2,-21.72583333,-48.01861111,30,Tabernaemontana,Camptostoma_obsoletum,3,8.1
Camptostoma,Cordia,5.02,8,-19.7667,-40.0033,30,Cordia,Camptostoma_obsoletum,7,8.1
Camptostoma,Pera,68.1,8,-19.7667,-40.0033,30,Pera,Camptostoma_obsoletum,7,8.1
Camptostoma,Casearia,16.35,15,-22.9433,-46.7499,30,Casearia,Camptostoma_obsoletum,2,8.1
Camptostoma,Erythroxylum,36.01333333,15,-22.9433,-46.7499,30,Erythroxylum,Camptostoma_obsoletum,6,8.1
Camptostoma,Myrsine,21.24285714,30,-25.25,-50.0833,30,Myrsine,Camptostoma_obsoletum,2,8.1
Camptostoma,Struthanthus,27.22,43,-19.8333,-43.8333,30,Struthanthus,Camptostoma_obsoletum,7,8.1
Camptostoma,Alchornea,67.625,46,-22.7167,-48.5667,30,Alchornea,Camptostoma_obsoletum,2,8.1
Camptostoma,Myrsine,21.24285714,46,-22.7167,-48.5667,30,Myrsine,Camptostoma_obsoletum,24,8.1
Camptostoma,Miconia,4.111052632,60,-22.17539167,-47.873925,30,Miconia,Camptostoma_obsoletum,2,8.1
Camptostoma,Trema,48.8,70,-22.71,-47.61,30,Trema,Camptostoma_obsoletum,2,8.1
Campylorhynchus,Cymbopetalum,61.2,61,18.5499,-95.2,0,Cymbopetalum,Campylorhynchus_zonatus,1,34.6
Capito,Schefflera,23.1,58,-4.266666667,-55.98333333,60,Schefflera,Capito_niger,9,57.635
Capito,Guarea,44.08,67,-11.88805556,-71.4075,60,Guarea,Capito_niger,2,57.635
Capsiempis,Miconia,4.111052632,4,-22.5496,-42.2766,10,Miconia,Capsiempis_flaveola,1,7.7
Carpodectes,Erythroxylum,36.01333333,48,-24,-47.75,100,Erythroxylum,Carpodectes_nitidus,1,101.6
Carpodectes,Cabralea,71.11666667,53,-24.2833,-48.4167,100,Cabralea,Carpodectes_nitidus,3,101.6
Carpornis,Miconia,4.111052632,31,-22.45,-44.0167,85,Miconia,Carpornis_melanocephala,5,72.19
Carpornis,Solanum,5.062352941,59,-19.1,-39.75,85,Solanum,Carpornis_melanocephala,1,72.19
Carpornis,Casearia,16.35,63,10.41666667,-83.98333333,85,Casearia,Carpornis_melanocephala,2,72.19
Casiornis,Miconia,4.111052632,1,-15.9519,-47.9701,0,Miconia,Casiornis_rufus,2,24.8
Casiornis,Solanum,5.062352941,1,-15.9519,-47.9701,0,Solanum,Casiornis_rufus,1,24.8
Casiornis,Doliocarpus,9.69,2,-21.72583333,-48.01861111,0,Doliocarpus,Casiornis_rufus,1,24.8
Casiornis,Miconia,4.111052632,2,-21.72583333,-48.01861111,0,Miconia,Casiornis_rufus,2,24.8
Casiornis,Ocotea,29.855,2,-21.72583333,-48.01861111,0,Ocotea,Casiornis_rufus,4,24.8
Casiornis,Miconia,4.111052632,60,-22.17539167,-47.873925,0,Miconia,Casiornis_rufus,1,24.8
Catharus,Cabralea,71.11666667,1,-15.9519,-47.9701,40,Cabralea,Catharus_ustulatus,23,31.01111111
