"Schefflera_morototoni" "Aegiphila_sellowiana" "Lantana_camara" "Citharexylum_myrianthum" "Cordia_curassavica" "Tabernaemontana_donnell-smithii" "Solanum_viscosissimum" "Gaylussacia_virgata" "Myrsine_gardneriana" "Myrsine_coriacea" "Myrsine_umbellata" "Guapira_opposita" "Psittacanthus_robustus" "Struthanthus_flexicaulis" "Copaifera_langsdorffii" "Ficus_luschnathiana" "Ficus_insipida" "Cecropia_glaziovii" "Coussapoa_microcarpa" "Trema_micrantha" "Clusia_criuva" "Clusia_hilariana" "Casearia_decandra" "Casearia_sylvestris" "Erythroxylum_ambiguum" "Alchornea_triplinervia" "Pera_glabrata" "Humiria_balsamifera" "Sloanea_guianensis" "Cabralea_canjerana" "Guarea_macrophylla" "Trichilia_martiana" "Paullinia_carpopoda" "Matayba_elaeagnoides" "Cupania_oblongifolia" "Cupania_vernalis" "Protium_spruceanum" "Protium_heptaphyllum" "Schinus_terebinthifolia" "Tapirira_guianensis" "Miconia_theaezans" "Miconia_pepericarpa" "Miconia_budlejoides" "Miconia_prasina" "Miconia_pusilliflora" "Miconia_cuspidata" "Eugenia_umbelliflora" "Eugenia_uniflora" "Myrceugenia_myrcioides" "Psidium_guajava" "Xylopia_aromatica" "Guatteria_sellowiana" "Cymbopetalum_baillonii" "Magnolia_ovata" "Virola_sebifera" "Ocotea_pulchella" "Nectandra_megapotamica" "Cinnamomum_triplinerve" "Persea_pyrifolia" "Piper_tectoniifolium"
"Schefflera_morototoni" 0 213.482821 213.482822 213.482821 213.482822 213.482822 213.482821 224.681458 224.681457 224.681457 224.681458 239.748468 242.76933 242.769329 247.468473 247.468474 247.468474 247.468473 247.468473 247.468474 247.468474 247.468474 247.468473 247.468474 247.468473 247.468473 247.468474 247.468474 247.468474 247.468474 247.468474 247.468474 247.468473 247.468473 247.468473 247.468474 247.468473 247.468474 247.468474 247.468474 247.468473 247.468474 247.468474 247.468474 247.468474 247.468474 247.468473 247.468474 247.468474 247.468474 271.824374 271.824374 271.824373 271.824373 271.824374 271.824374 271.824374 271.824373 271.824373 271.824373
"Aegiphila_sellowiana" 213.482821 0 94.542875 94.5428740000001 176.495553 179.502135 179.502134 224.681457 224.681456 224.681456 224.681457 239.748467 242.769329 242.769328 247.468472 247.468473 247.468473 247.468472 247.468472 247.468473 247.468473 247.468473 247.468472 247.468473 247.468472 247.468472 247.468473 247.468473 247.468473 247.468473 247.468473 247.468473 247.468472 247.468472 247.468472 247.468473 247.468472 247.468473 247.468473 247.468473 247.468472 247.468473 247.468473 247.468473 247.468473 247.468473 247.468472 247.468473 247.468473 247.468473 271.824373 271.824373 271.824372 271.824372 271.824373 271.824373 271.824373 271.824372 271.824372 271.824372
"Lantana_camara" 213.482822 94.542875 0 49.4763170000001 176.495554 179.502136 179.502135 224.681458 224.681457 224.681457 224.681458 239.748468 242.76933 242.769329 247.468473 247.468474 247.468474 247.468473 247.468473 247.468474 247.468474 247.468474 247.468473 247.468474 247.468473 247.468473 247.468474 247.468474 247.468474 247.468474 247.468474 247.468474 247.468473 247.468473 247.468473 247.468474 247.468473 247.468474 247.468474 247.468474 247.468473 247.468474 247.468474 247.468474 247.468474 247.468474 247.468473 247.468474 247.468474 247.468474 271.824374 271.824374 271.824373 271.824373 271.824374 271.824374 271.824374 271.824373 271.824373 271.824373
"Citharexylum_myrianthum" 213.482821 94.5428740000001 49.4763170000001 0 176.495553 179.502135 179.502134 224.681457 224.681456 224.681456 224.681457 239.748467 242.769329 242.769328 247.468472 247.468473 247.468473 247.468472 247.468472 247.468473 247.468473 247.468473 247.468472 247.468473 247.468472 247.468472 247.468473 247.468473 247.468473 247.468473 247.468473 247.468473 247.468472 247.468472 247.468472 247.468473 247.468472 247.468473 247.468473 247.468473 247.468472 247.468473 247.468473 247.468473 247.468473 247.468473 247.468472 247.468473 247.468473 247.468473 271.824373 271.824373 271.824372 271.824372 271.824373 271.824373 271.824373 271.824372 271.824372 271.824372
"Cordia_curassavica" 213.482822 176.495553 176.495554 176.495553 0 179.502136 179.502135 224.681458 224.681457 224.681457 224.681458 239.748468 242.76933 242.769329 247.468473 247.468474 247.468474 247.468473 247.468473 247.468474 247.468474 247.468474 247.468473 247.468474 247.468473 247.468473 247.468474 247.468474 247.468474 247.468474 247.468474 247.468474 247.468473 247.468473 247.468473 247.468474 247.468473 247.468474 247.468474 247.468474 247.468473 247.468474 247.468474 247.468474 247.468474 247.468474 247.468473 247.468474 247.468474 247.468474 271.824374 271.824374 271.824373 271.824373 271.824374 271.824374 271.824374 271.824373 271.824373 271.824373
"Tabernaemontana_donnell-smithii" 213.482822 179.502135 179.502136 179.502135 179.502136 0 171.826273 224.681458 224.681457 224.681457 224.681458 239.748468 242.76933 242.769329 247.468473 247.468474 247.468474 247.468473 247.468473 247.468474 247.468474 247.468474 247.468473 247.468474 247.468473 247.468473 247.468474 247.468474 247.468474 247.468474 247.468474 247.468474 247.468473 247.468473 247.468473 247.468474 247.468473 247.468474 247.468474 247.468474 247.468473 247.468474 247.468474 247.468474 247.468474 247.468474 247.468473 247.468474 247.468474 247.468474 271.824374 271.824374 271.824373 271.824373 271.824374 271.824374 271.824374 271.824373 271.824373 271.824373
"Solanum_viscosissimum" 213.482821 179.502134 179.502135 179.502134 179.502135 171.826273 0 224.681457 224.681456 224.681456 224.681457 239.748467 242.769329 242.769328 247.468472 247.468473 247.468473 247.468472 247.468472 247.468473 247.468473 247.468473 247.468472 247.468473 247.468472 247.468472 247.468473 247.468473 247.468473 247.468473 247.468473 247.468473 247.468472 247.468472 247.468472 247.468473 247.468472 247.468473 247.468473 247.468473 247.468472 247.468473 247.468473 247.468473 247.468473 247.468473 247.468472 247.468473 247.468473 247.468473 271.824373 271.824373 271.824372 271.824372 271.824373 271.824373 271.824373 271.824372 271.824372 271.824372
"Gaylussacia_virgata" 224.681458 224.681457 224.681458 224.681457 224.681458 224.681458 224.681457 0 189.766585 189.766585 189.766586 239.748468 242.76933 242.769329 247.468473 247.468474 247.468474 247.468473 247.468473 247.468474 247.468474 247.468474 247.468473 247.468474 247.468473 247.468473 247.468474 247.468474 247.468474 247.468474 247.468474 247.468474 247.468473 247.468473 247.468473 247.468474 247.468473 247.468474 247.468474 247.468474 247.468473 247.468474 247.468474 247.468474 247.468474 247.468474 247.468473 247.468474 247.468474 247.468474 271.824374 271.824374 271.824373 271.824373 271.824374 271.824374 271.824374 271.824373 271.824373 271.824373
"Myrsine_gardneriana" 224.681457 224.681456 224.681457 224.681456 224.681457 224.681457 224.681456 189.766585 0 11.1533860000002 11.1533870000001 239.748467 242.769329 242.769328 247.468472 247.468473 247.468473 247.468472 247.468472 247.468473 247.468473 247.468473 247.468472 247.468473 247.468472 247.468472 247.468473 247.468473 247.468473 247.468473 247.468473 247.468473 247.468472 247.468472 247.468472 247.468473 247.468472 247.468473 247.468473 247.468473 247.468472 247.468473 247.468473 247.468473 247.468473 247.468473 247.468472 247.468473 247.468473 247.468473 271.824373 271.824373 271.824372 271.824372 271.824373 271.824373 271.824373 271.824372 271.824372 271.824372
"Myrsine_coriacea" 224.681457 224.681456 224.681457 224.681456 224.681457 224.681457 224.681456 189.766585 11.1533860000002 0 11.1533870000001 239.748467 242.769329 242.769328 247.468472 247.468473 247.468473 247.468472 247.468472 247.468473 247.468473 247.468473 247.468472 247.468473 247.468472 247.468472 247.468473 247.468473 247.468473 247.468473 247.468473 247.468473 247.468472 247.468472 247.468472 247.468473 247.468472 247.468473 247.468473 247.468473 247.468472 247.468473 247.468473 247.468473 247.468473 247.468473 247.468472 247.468473 247.468473 247.468473 271.824373 271.824373 271.824372 271.824372 271.824373 271.824373 271.824373 271.824372 271.824372 271.824372
