Study,site,lat,lon,plant_sp,lipid,tot_visits,Fruit_Diet,Bird_genus,rank_Phyl,Plant_familiy,Bird_Family,Bird_Order,Plant_genus,visits,BodyMass,phylo,Phylo_name
1,1,-15.9519,-47.9701,Alchornea_iricurana,66.87,571,20,Leptopogon,16,Euphorbiaceae,Tyrannidae,Passeriformes,Alchornea,3,11.7,Leptopogon_amaurocephalus,Alchornea_triplinervia
1,1,-15.9519,-47.9701,Alchornea_iricurana,66.87,571,23.33333333,Hemithraupis,25,Euphorbiaceae,Thraupidae,Passeriformes,Alchornea,67,12,Hemithraupis_ruficapilla,Alchornea_triplinervia
1,1,-15.9519,-47.9701,Alchornea_iricurana,66.87,571,24,Saltator,25,Euphorbiaceae,Thraupidae,Passeriformes,Alchornea,30,45.45,Saltator_similis,Alchornea_triplinervia
1,1,-15.9519,-47.9701,Alchornea_iricurana,66.87,571,26.66666667,Vireo,18,Euphorbiaceae,Vireonidae,Passeriformes,Alchornea,49,16.06,Vireo_philadelphicus,Alchornea_triplinervia
1,1,-15.9519,-47.9701,Alchornea_iricurana,66.87,571,30,Myiodynastes,16,Euphorbiaceae,Tyrannidae,Passeriformes,Alchornea,5,43.2,Myiodynastes_luteiventris,Alchornea_triplinervia
1,1,-15.9519,-47.9701,Alchornea_iricurana,66.87,571,30,Phyllomyias,16,Euphorbiaceae,Tyrannidae,Passeriformes,Alchornea,80,10.3,Phyllomyias_griseocapilla,Alchornea_triplinervia
1,1,-15.9519,-47.9701,Alchornea_iricurana,66.87,571,33.33333333,Tachyphonus,25,Euphorbiaceae,Thraupidae,Passeriformes,Alchornea,3,34.4,Tachyphonus_rufus,Alchornea_triplinervia
1,1,-15.9519,-47.9701,Alchornea_iricurana,66.87,571,40,Empidonomus,16,Euphorbiaceae,Tyrannidae,Passeriformes,Alchornea,16,27.1,Empidonomus_varius,Alchornea_triplinervia
1,1,-15.9519,-47.9701,Alchornea_iricurana,66.87,571,47.5,Elaenia,16,Euphorbiaceae,Tyrannidae,Passeriformes,Alchornea,46,19.26666667,Elaenia_flavogaster,Alchornea_triplinervia
1,1,-15.9519,-47.9701,Alchornea_iricurana,66.87,571,53,Turdus,21,Euphorbiaceae,Turdidae,Passeriformes,Alchornea,47,59.3,Turdus_subalaris,Alchornea_triplinervia
1,1,-15.9519,-47.9701,Alchornea_iricurana,66.87,571,56.66666667,Dacnis,25,Euphorbiaceae,Thraupidae,Passeriformes,Alchornea,127,13,Dacnis_nigripes,Alchornea_triplinervia
1,1,-15.9519,-47.9701,Alchornea_iricurana,66.87,571,60,Antilophia,13,Euphorbiaceae,Pipridae,Passeriformes,Alchornea,19,21.48,Antilophia_galeata,Alchornea_triplinervia
1,1,-15.9519,-47.9701,Alchornea_iricurana,66.87,571,65,Mionectes,16,Euphorbiaceae,Tyrannidae,Passeriformes,Alchornea,12,13.3,Mionectes_rufiventris,Alchornea_triplinervia
1,1,-15.9519,-47.9701,Alchornea_iricurana,66.87,571,70,Tersina,25,Euphorbiaceae,Thraupidae,Passeriformes,Alchornea,12,29,Tersina_viridis,Alchornea_triplinervia
1,1,-15.9519,-47.9701,Alchornea_iricurana,66.87,571,71.42857143,Thraupis,25,Euphorbiaceae,Thraupidae,Passeriformes,Alchornea,5,35.745,Thraupis_palmarum,Alchornea_triplinervia
1,1,-15.9519,-47.9701,Alchornea_iricurana,66.87,571,75.83333333,Tangara,25,Euphorbiaceae,Thraupidae,Passeriformes,Alchornea,50,18,Tangara_seledon,Alchornea_triplinervia
1,1,-15.9519,-47.9701,Cabralea_canjerana,71.18,663,0,Coereba,25,Meliaceae,Thraupidae,Passeriformes,Cabralea,6,10.01,Coereba_flaveola,Trichilia_pallida
1,1,-15.9519,-47.9701,Cabralea_canjerana,71.18,663,3.333333333,Thamnophilus,10,Meliaceae,Thamnophilidae,Passeriformes,Cabralea,4,21.1,Thamnophilus_punctatus,Trichilia_pallida
